distinct_1gram,distinct_2gram,distinct_3gram,self_bleu,kl_divergence,vocab_coverage,rare_token_survival,repetition_rate,mean_length,length_std,perplexity,domain,model,mixing_ratio,generation,track
0.0191074025147071,0.2723999961803268,0.6363784649926598,0.0310619267264602,0.2114205252813281,0.513911620294599,0.3405916187345932,0.0,210.442,12.092007112138164,-1.0,creative_fiction,distilgpt2,0.5,3,creative_fiction_distilgpt2_50pct
0.0183279222324837,0.2550439582516191,0.6002297392123501,0.0304289855471165,0.233812160430612,0.4900631283610007,0.3179950698438784,0.0,210.062,10.06986375280222,-1.0,creative_fiction,distilgpt2,0.5,4,creative_fiction_distilgpt2_50pct
0.0184171944920898,0.2432047294890187,0.5713387319923761,0.0338764712346063,0.2544880250231063,0.4788403086275427,0.3073130649137223,0.0,208.718,11.493236097809875,-1.0,creative_fiction,distilgpt2,0.5,5,creative_fiction_distilgpt2_50pct
0.0189339728464781,0.2312072450248756,0.5393850330039448,0.0374862236918296,0.268431099879707,0.4704231938274491,0.3011503697617091,0.0,206.824,13.605992209317186,-1.0,creative_fiction,distilgpt2,0.5,6,creative_fiction_distilgpt2_50pct
0.0197455540624049,0.2182617524421619,0.5005696058327638,0.0410103994310877,0.2891787321518634,0.4547580079494973,0.2875924404272802,0.0,203.894,14.58542985311026,-1.0,creative_fiction,distilgpt2,0.5,7,creative_fiction_distilgpt2_50pct
0.0197748481706413,0.2036867960105195,0.4607141076148207,0.0500247759816802,0.3023326816126266,0.436520925882628,0.2691043549712407,0.0,202.53,17.42340667033861,-1.0,creative_fiction,distilgpt2,0.5,8,creative_fiction_distilgpt2_50pct
0.0201088878594519,0.1915627487397187,0.4275220495378779,0.0553084093014777,0.3135501899902152,0.4320785597381342,0.2641741988496302,0.0,200.757,17.780099859112152,-1.0,creative_fiction,distilgpt2,0.5,9,creative_fiction_distilgpt2_50pct
0.020276567340873,0.1790486316802106,0.3940968423195338,0.0683260280504357,0.3232283399087421,0.4159457563712883,0.248151191454396,0.0,198.505,16.490541986241688,-1.0,creative_fiction,distilgpt2,0.5,10,creative_fiction_distilgpt2_50pct
0.0290501120469824,0.3495214893038785,0.7450550093632958,0.0272566889162975,0.1305826747490049,0.6965162497077391,0.5550534100246508,0.0,207.056,11.559708646847463,-1.0,creative_fiction,distilgpt2,0.25,0,creative_fiction_distilgpt2_25pct
0.0234018427998361,0.3205057013470689,0.7134604469499466,0.0298172843937134,0.1651944106233946,0.6095393967734394,0.4424815119145439,0.0,209.898,11.895948722149068,-1.0,creative_fiction,distilgpt2,0.25,1,creative_fiction_distilgpt2_25pct
0.0213544641157433,0.3011667941851568,0.6857438016528926,0.0301266858722104,0.1922684359527831,0.5838204348842647,0.4182415776499589,0.0,210.12,13.45271719765193,-1.0,creative_fiction,distilgpt2,0.25,2,creative_fiction_distilgpt2_25pct
0.0203855856027695,0.2862673508794626,0.6597466623657363,0.0305535671989969,0.216184316856438,0.5597381342062193,0.3907148726376335,0.0,209.707,12.483635327900284,-1.0,creative_fiction,distilgpt2,0.25,3,creative_fiction_distilgpt2_25pct
0.0198694186018702,0.2725302189219715,0.6357230821239708,0.0330998496196091,0.2406783957871273,0.5326163198503624,0.3504519309778143,0.0,209.065,11.670166022812186,-1.0,creative_fiction,distilgpt2,0.25,4,creative_fiction_distilgpt2_25pct
0.0196539293439077,0.2621202608065685,0.6065663673865567,0.0344478315234406,0.2548313794768446,0.5146130465279402,0.3475760065735415,0.001,208.05,11.521870507864598,-1.0,creative_fiction,distilgpt2,0.25,5,creative_fiction_distilgpt2_25pct
0.0196804534997718,0.2483686269154612,0.5748326324972309,0.0382110118685789,0.2709181233042425,0.5113397241056815,0.3389482333607231,0.0,206.042,13.938372788815771,-1.0,creative_fiction,distilgpt2,0.25,6,creative_fiction_distilgpt2_25pct
0.0201841325127924,0.2363556814047921,0.5417601201474177,0.0426902484216319,0.2865328458581161,0.4961421557166238,0.3221035332785538,0.0,204.418,14.65753308029697,-1.0,creative_fiction,distilgpt2,0.25,7,creative_fiction_distilgpt2_25pct
0.0211629442455953,0.2287701372501085,0.51833912463585,0.0463301969919806,0.2967694398005721,0.4879588496609773,0.30936729663106,0.0,201.437,16.40493922573321,-1.0,creative_fiction,distilgpt2,0.25,8,creative_fiction_distilgpt2_25pct
0.0216743713386203,0.2177937760333226,0.4890613049953709,0.0531777674776018,0.3038310278869391,0.4816460135609072,0.3064913722267872,0.0,200.744,15.255243819749326,-1.0,creative_fiction,distilgpt2,0.25,9,creative_fiction_distilgpt2_25pct
